wavelength,reflectance
326.004,8.03
326.374,9.77
326.744,12.05
327.115,7.79
327.485,6.95
327.855,7.11
328.226,9.59
328.596,10.48
328.966,8.42
329.336,9.08
329.706,8.51
330.076,8.68
330.447,10.33
330.816,7.86
331.186,10.59
331.556,11.33
331.926,11.24
332.296,8.6
332.666,8.44
333.036,7.86
333.405,9.43
333.775,9.23
334.144,8.59
334.514,9.33
334.884,9.18
335.253,8.72
335.623,10.4
335.992,9.31
336.361,9.6
336.731,7.71
337.1,8.17
337.469,8.42
337.838,8.69
338.208,7.07
338.577,8.42
338.946,9.42
339.315,10.04
339.684,8.51
340.053,9.6
340.422,9.55
340.79,8.68
341.159,9.57
341.528,8.13
341.897,9.23
342.266,8.08
342.634,9.18
343.003,10.49
343.371,7.67
343.74,9.5
344.108,8.02
344.477,7.99
344.845,8.61
345.214,9.03
345.582,7.01
345.95,9.66
346.319,10.12
346.687,8.48
347.055,8.37
347.423,8.22
347.791,10.33
348.159,8.48
348.527,8.12
348.895,9.57
349.263,9.39
349.631,9.08
349.999,8.55
350.367,6.73
350.734,8.86
351.102,5.72
351.47,8.04
351.837,7.07
352.205,8.15
352.573,8.15
352.94,10.87
353.308,11.37
353.675,8.28
354.042,7.53
354.41,7.99
354.777,6.73
355.144,7.67
355.511,7.45
355.879,8.9
356.246,7.99
356.613,7.99
356.98,8.42
357.347,4.94
357.714,8.4
358.081,9.79
358.448,8.07
358.815,8.42
359.181,8.42
359.548,6.64
359.915,7.92
360.282,8.73
360.648,9.71
361.015,10.04
361.381,9.3
361.748,9.38
362.114,7.88
362.481,9.62
362.847,9.28
363.214,10.56
363.58,9.93
363.946,7.76
364.312,9.4
364.678,9.93
365.045,9.35
365.411,8.91
365.777,9.85
366.143,10.5
366.509,8.76
366.875,8.1
367.241,7.89
367.606,8.03
367.972,10.67
368.338,8.93
368.704,9.85
369.069,10.27
369.435,9.51
369.801,9.77
370.166,8.52
370.532,8.28
370.897,9.57
371.263,9.03
371.628,9.96
371.993,9.35
372.359,9.31
372.724,9.27
373.089,8.35
373.454,8.33
373.82,8.03
374.185,9.13
374.55,8.16
374.915,9.37
375.28,9.33
375.645,9.88
376.01,9.96
376.374,13.12
376.739,10.75
377.104,10.32
377.469,9.3
377.833,10.89
378.198,9.45
378.563,9.96
378.927,8.7
379.292,8.73
379.656,8.43
380.021,9.1
380.385,8.03
380.749,8.72
381.114,9.15
381.478,8.91
381.842,10.9
382.206,10.48
382.571,10.1
382.935,9.84
383.299,10.64
383.663,10.01
384.027,9.1
384.391,10.68
384.755,10.64
385.118,8.89
385.482,9.98
385.846,9.63
386.21,11.04
386.573,10.08
386.937,10.57
387.301,9.84
387.664,11.83
388.028,7.43
388.391,12.36
388.755,8.83
389.118,11.96
389.481,10.09
389.845,10.85
390.208,10.21
390.571,10.63
390.934,9.22
391.298,10.14
391.661,10.97
392.024,10.61
392.387,13.71
392.75,11.79
393.113,12.84
393.476,11.35
393.838,10.43
394.201,11.09
394.564,12.06
394.927,12.89
395.289,10.96
395.652,11.07
396.015,11.94
396.377,10.75
396.74,12.29
397.102,11.63
397.465,12.65
397.827,12.19
398.189,10.89
398.552,12.02
398.914,11.85
399.276,13.1
399.638,12.15
400,11.41
400.363,10.87
400.725,10.43
401.087,12.52
401.449,13.49
401.81,12.52
402.172,13.35
