wavelength,reflectance
326.744,3.92
327.115,2.77
327.485,1.48
327.855,2.27
328.226,2.48
328.596,3.12
328.966,2.06
329.336,4.34
329.706,2.56
330.076,2.05
330.447,3.89
330.816,2.06
331.186,4.26
331.556,3.68
331.926,4.47
332.296,2.77
332.666,0.11
333.036,1.99
333.405,2.59
333.775,1.78
334.144,2.67
334.514,1.47
334.884,2.04
335.253,1.51
335.623,1.79
335.992,2.07
336.361,3.38
336.731,3.51
337.1,2.27
337.469,2.89
337.838,3.07
338.208,2.35
338.577,1.5
338.946,2.78
339.315,3.61
339.684,1.74
340.053,1.2
340.422,3.36
340.79,1.78
341.159,3.37
341.528,3.06
341.897,2.89
342.266,2.51
342.634,3.59
343.003,3.31
343.371,1.46
343.74,3.34
344.108,4.88
344.477,2.57
344.845,1.82
345.214,2.74
345.582,1.5
345.95,3.3
346.319,2.01
346.687,2.73
347.055,1.98
347.423,2.82
347.791,3.89
348.159,3
348.527,0.39
348.895,2.82
349.263,2.94
349.631,3.11
349.999,3.82
350.367,2.33
350.734,3.57
351.102,1.99
351.47,3.56
351.837,1.99
352.205,4.69
352.573,3.07
352.94,4.43
353.308,4.35
353.675,2.3
354.042,3.3
354.41,2.29
354.777,3.16
355.144,2.28
355.511,0.89
355.879,1.77
356.246,2.57
356.613,3.39
356.98,1.5
357.347,2.55
357.714,4.14
358.081,1.78
358.448,2.87
358.815,4.01
359.181,3.34
359.548,3.4
359.915,1.46
360.282,4.71
360.648,4.24
361.015,3.82
361.381,5.27
361.748,2.57
362.114,1.72
362.481,4.32
362.847,2.34
363.214,4.81
363.58,2.85
363.946,3.4
364.312,2.58
364.678,4.64
365.045,3.29
365.411,4.13
365.777,3.37
366.143,3.95
366.509,5
366.875,2.79
367.241,3.5
367.606,3.4
367.972,5.41
368.338,3.87
368.704,3.81
369.069,4.29
369.435,4.04
369.801,4.96
370.166,3.43
370.532,2.57
370.897,4.47
371.263,4.2
371.628,3.49
371.993,5.38
372.359,5.24
372.724,4.84
373.089,6.06
373.454,5.79
373.82,5.24
374.185,5.02
374.55,6.43
374.915,4.63
375.28,6.36
375.645,6.56
376.01,4.79
376.374,6.37
376.739,6.07
377.104,4.46
377.469,5.38
377.833,6.55
378.198,6.19
378.563,7.46
378.927,4.54
379.292,6.6
379.656,4.28
380.021,5.63
380.385,6.13
380.749,7.12
381.114,6.73
381.478,5.84
381.842,5.64
382.206,7.2
382.571,6.79
382.935,8.21
383.299,7.39
383.663,7.86
384.027,6.82
384.391,9.03
384.755,7.86
385.118,7.77
385.482,7.02
385.846,6.55
386.21,6.63
386.573,6.39
386.937,8.5
387.301,6.85
387.664,8.98
388.028,6.58
388.391,8.73
388.755,8.44
389.118,9.3
389.481,6.86
389.845,8.08
390.208,7.31
390.571,8.29
390.934,8.38
391.298,8.2
391.661,8.82
392.024,10.43
392.387,9.96
392.75,9
393.113,9.04
393.476,8.03
393.838,8.77
394.201,8.67
394.564,9.4
394.927,9.81
395.289,8.97
395.652,9.06
396.015,10.36
396.377,9.37
396.74,10.08
397.102,8.01
397.465,10.38
397.827,9.14
398.189,9.28
398.552,9.01
398.914,9.68
399.276,12.53
399.638,11.98
400,11.44
400.363,11.89
400.725,9.26
401.087,10.99
401.449,10.67
401.81,11.96
402.172,11.62
402.534,10.16
402.896,10.57
403.258,11.21
403.619,11.41
403.981,9.81
404.343,11.44
404.704,11.7
405.066,12.66
405.427,10.71
405.789,12.06
406.15,11.06
406.512,13.28
406.873,13.06
407.234,13.32
407.596,12.58
407.957,12.29
408.318,13.63
408.679,12.22
409.04,12.51
409.401,11.56
409.762,13.52
410.123,13.14
410.484,13.86
410.845,13.19
411.206,14.09
411.567,13.04
411.927,13.81
412.288,12.31
412.649,11.19
413.009,13.14
413.37,13.95
413.731,13.5
414.091,15.37
414.452,16.34
414.812,12.96
415.172,14.7
415.533,13.9
415.893,15.29
416.253,13.55
416.613,15.22
416.974,13.88
417.334,15.63
417.694,14.56
418.054,12.99
418.414,15.48
418.774,15.17
419.134,14.36
419.494,15.73
419.853,14.79
420.213,15.54
420.573,14.97
420.933,16.26
421.292,15.33
421.652,15.83
422.011,15.78
422.371,15.33
422.73,15.72
423.09,15.19
423.449,16.94
423.809,16.71
424.168,16.06
424.527,15.28
424.887,16.03
425.246,16.35
425.605,16.21
425.964,16.62
426.323,16.77
426.682,15.32
427.041,16.71
427.4,18.16
427.759,18.55
428.118,17.09
428.477,17.69
428.835,17.43
429.194,17.4
429.553,17.29
429.911,17.39
430.27,17.67
430.629,17.4
430.987,17.5
431.346,17.64
431.704,18.43
432.062,17.51
432.421,18.64
432.779,18.46
433.137,18.19
433.496,18.24
433.854,17.02
434.212,18.81
434.57,18.06
434.928,19.93
435.286,18.83
435.644,20.08
436.002,17.61
436.36,19.9
436.718,19.71
437.075,20.14
437.433,19.09
437.791,19.33
438.149,19.08
438.506,19.9
438.864,19.59
439.221,19.79
439.579,18.7
439.936,18.7
440.294,21.4
440.651,18.97
441.009,19.38
441.366,20.82
441.723,19.82
442.08,21.04
442.437,19.64
442.795,20.5
443.152,20.8
443.509,21.15
443.866,21.68
444.223,19.38
444.58,19.55
444.936,21.39
445.293,21.05
445.65,20.34
446.007,21.21
446.363,21.58
446.72,20.93
447.077,20.16
447.433,21.43
447.79,20.97
448.146,20.85
448.503,20.34
448.859,20.43
449.215,20.93
449.572,21.12
449.928,21.62
450.284,21.23
450.641,19.6
450.997,22.7
451.353,20.65
451.709,20.4
452.065,21.04
452.421,21.44
452.777,21.34
453.133,22.11
453.488,22.63
453.844,22.76
454.2,22.95
454.556,22.62
454.911,22.48
455.267,22.39
455.623,21.7
455.978,21.36
456.334,21.67
456.689,23.31
457.045,22.71
457.4,22.04
457.755,21.5
458.111,22.09
458.466,23
458.821,21.36
459.176,22.62
459.531,22.03
459.886,23.55
460.242,22.72
460.597,23.44
460.951,22.6
461.306,23.2
461.661,23.22
462.016,23.91
462.371,22.4
462.726,22.92
463.08,22.24
463.435,23.87
463.79,23.77
464.144,23.9
464.499,22.79
464.853,19.77
465.208,22.78
465.562,23.35
465.916,21.58
466.271,22.7
466.625,22.76
466.979,22.77
467.333,22.88
467.688,24.17
468.042,24.42
468.396,25.07
468.75,24.35
469.104,22.22
469.458,23.46
469.811,24.89
470.165,25.03
470.519,25.42
470.873,25.74
471.227,24.62
471.58,23.8
471.934,21.67
472.287,22.61
472.641,24.28
472.995,26.82
473.348,24.93
473.701,25.3
474.055,23.4
474.408,24.79
474.761,23.54
475.115,25.49
475.468,25.63
475.821,24.88
476.174,24.04
476.527,24.79
476.88,23.86
477.233,25.73
477.586,25.79
477.939,25.41
478.292,25.61
478.645,26.63
478.998,25.03
479.35,24.8
479.703,24.81
480.056,23.88
480.408,26.92
480.761,27.53
481.113,26.34
481.466,26.34
481.818,26.32
482.171,25.15
482.523,24.94
482.875,25.48
483.228,26.95
483.58,25.89
483.932,25.27
484.284,26.13
484.636,26.15
484.988,25.88
485.34,26.59
485.692,25.73
486.044,25.86
486.396,27.18
486.748,26.01
487.1,25.31
487.451,26.61
487.803,25.02
488.155,26.37
488.506,24.47
488.858,25.23
489.209,24.66
489.561,25.25
489.912,25.25
490.264,24.76
490.615,26.06
490.966,26.2
491.318,24.96
491.669,25.36
492.02,26.06
492.371,26.01
492.722,25.45
493.073,26.78
493.424,26.39
493.775,25.46
494.126,26.77
494.477,24.99
494.828,26.57
495.179,26.21
495.53,25.7
495.88,26.01
496.231,24.95
496.582,26.42
496.932,27.04
497.283,26.85
497.633,27.64
497.984,25.82
498.334,26.05
498.684,27.37
499.035,26.88
499.385,25.92
499.735,26
500.086,25.28
500.436,28.29
500.786,25.65
501.136,25.81
501.486,25.17
501.836,26.47
502.186,26.78
502.536,25.99
502.886,25.68
503.235,26.79
503.585,26.58
503.935,26.48
504.285,27.2
504.634,25.14
504.984,25.29
505.333,26.62
505.683,26.32
506.032,26.81
506.382,26.74
506.731,27.98
507.08,25.33
507.43,25.18
507.779,25.48
508.128,26.72
508.477,27.91
508.826,26.87
509.176,24.95
509.525,25.89
509.874,28.5
510.222,25.77
510.571,27.6
510.92,27
511.269,24.91
511.618,25.95
511.967,26.09
512.315,26.16
512.664,28.14
513.012,25.6
513.361,26.47
513.71,26.44
514.058,25.28
514.406,26.79
514.755,26.11
515.103,24.33
515.451,25.98
515.8,27.49
516.148,25.03
516.496,25.07
516.844,26.61
517.192,24.53
517.54,26.94
517.888,26.91
518.236,26.56
518.584,25.95
518.932,25.49
519.28,25.33
519.628,25.12
519.975,26.67
520.323,26.79
520.671,24.68
521.018,26.33
521.366,26.71
521.713,23.82
522.061,26.18
522.408,25.38
522.756,25.47
523.103,25.55
523.45,26.04
523.798,26.89
524.145,25.51
524.492,26.77
524.839,28.01
525.186,25.53
525.533,24.03
525.88,24.67
526.227,24.85
526.574,26.13
526.921,24.85
527.268,25.73
527.615,25.21
527.961,24.44
528.308,25.26
528.655,24.44
529.001,24.8
529.348,25.12
529.694,25.86
530.041,25.57
530.387,25.76
530.734,27.2
531.08,25.89
531.426,26.44
531.773,25.4
532.119,25.22
532.465,26.31
532.811,24.72
533.157,25.67
533.503,24.9
533.849,24.26
534.195,24.36
534.541,25.35
534.887,26.22
535.233,24.77
535.579,25.91
535.924,24.13
536.27,26
536.616,25.51
536.961,26.41
537.307,26.89
537.652,26.46
537.998,25.03
538.343,25.11
538.689,25.59
539.034,24.82
539.379,26.11
539.725,24.17
540.07,24.04
540.415,25.53
540.76,23.62
541.105,24.48
541.45,25.32
541.795,26.31
542.14,24.48
542.485,24.53
542.83,23.66
543.175,24.29
543.519,23.85
543.864,26.27
544.209,23.43
544.554,23.86
544.898,23.6
545.243,24.82
545.587,23.28
545.932,23.11
546.276,23.76
546.621,24.42
546.965,22.76
547.309,24
547.653,23.5
547.998,23.07
548.342,23.94
548.686,24.86
549.03,22.59
549.374,24.05
549.718,24.55
550.062,23.82
550.406,24.83
550.75,22.2
551.094,23.45
551.437,24
551.781,23.27
552.125,23.62
552.468,22.72
552.812,22.92
553.156,23.09
553.499,23.57
553.843,24.36
554.186,22.43
554.529,22.51
554.873,23.22
555.216,23.48
555.559,23.81
555.902,24.77
556.246,23.81
556.589,21.33
556.932,21.6
557.275,23.79
557.618,23.69
557.961,23.6
558.304,23.78
558.646,24.77
558.989,23.98
559.332,22.66
559.675,22.1
560.017,22.98
560.36,22.33
560.703,22.24
561.045,22.24
561.388,22.7
561.73,22.95
562.073,23.63
562.415,21.9
562.757,23.38
563.1,22.9
563.442,23.98
563.784,23.2
564.126,22.56
564.468,24.05
564.81,22.53
565.152,21.83
565.494,22.91
565.836,23.19
566.178,21.25
566.52,23.02
566.862,22.27
567.204,22.36
567.545,21.75
567.887,21.92
568.229,21.37
568.57,21.07
568.912,22.9
569.253,21.54
569.595,21.46
569.936,21.45
570.277,20.58
570.619,20.56
570.96,21.3
571.301,21.37
571.642,22.05
571.984,22.47
572.325,20.02
572.666,20.36
573.007,21.64
573.348,21.82
573.689,20.91
574.03,20.12
