wavelength,reflectance
327.485,13.44
327.855,13.36
328.226,13.21
328.596,13.13
328.966,13.08
329.336,13.06
329.706,12.96
330.076,12.9
330.447,12.98
330.816,13.04
331.186,12.95
331.556,13.05
331.926,13.14
332.296,13.2
332.666,13.19
333.036,13.23
333.405,13.22
333.775,13.28
334.144,13.28
334.514,13.25
334.884,13.21
335.253,13.25
335.623,13.21
335.992,13.19
336.361,13.12
336.731,13.18
337.1,13.12
337.469,13.14
337.838,13.12
338.208,13.11
338.577,13.06
338.946,13.04
339.315,13.15
339.684,13.17
340.053,13.2
340.422,13.27
340.79,13.25
341.159,13.32
341.528,13.3
341.897,13.38
342.266,13.43
342.634,13.47
343.003,13.54
343.371,13.48
343.74,13.45
344.108,13.46
344.477,13.44
344.845,13.47
345.214,13.48
345.582,13.51
345.95,13.42
346.319,13.36
346.687,13.39
347.055,13.4
347.423,13.43
347.791,13.51
348.159,13.55
348.527,13.64
348.895,13.65
349.263,13.68
349.631,13.72
349.999,13.78
350.367,13.85
350.734,13.86
351.102,13.85
351.47,13.83
351.837,13.73
352.205,13.66
352.573,13.68
352.94,13.7
353.308,13.75
353.675,13.71
354.042,13.71
354.41,13.64
354.777,13.69
355.144,13.7
355.511,13.68
355.879,13.75
356.246,13.82
356.613,13.83
356.98,13.84
357.347,13.83
357.714,13.84
358.081,13.91
358.448,13.98
358.815,13.99
359.181,14.01
359.548,14.11
359.915,14.11
360.282,14.08
360.648,14
361.015,14
361.381,13.96
361.748,14
362.114,13.9
362.481,13.92
362.847,13.89
363.214,14.02
363.58,14
363.946,14.01
364.312,14.11
364.678,14.24
365.045,14.31
365.411,14.31
365.777,14.3
366.143,14.33
366.509,14.37
366.875,14.41
367.241,14.37
367.606,14.35
367.972,14.4
368.338,14.42
368.704,14.39
369.069,14.4
369.435,14.5
369.801,14.58
370.166,14.66
370.532,14.71
370.897,14.79
371.263,14.73
371.628,14.87
371.993,14.89
372.359,14.92
372.724,14.93
373.089,14.92
373.454,14.89
373.82,14.91
374.185,14.93
374.55,14.91
374.915,14.92
375.28,15.04
375.645,15.01
376.01,15.04
376.374,15.1
376.739,15.18
377.104,15.23
377.469,15.26
377.833,15.3
378.198,15.33
378.563,15.45
378.927,15.52
379.292,15.63
379.656,15.72
380.021,15.8
380.385,15.86
380.749,15.95
381.114,16.09
381.478,16.19
381.842,16.31
382.206,16.42
382.571,16.46
382.935,16.5
383.299,16.45
383.663,16.48
384.027,16.53
384.391,16.59
384.755,16.57
385.118,16.56
385.482,16.52
385.846,16.51
386.21,16.53
386.573,16.56
386.937,16.62
387.301,16.79
387.664,16.91
388.028,16.97
388.391,16.94
388.755,17.03
389.118,17.1
389.481,17.2
389.845,17.22
390.208,17.27
390.571,17.31
390.934,17.3
391.298,17.32
391.661,17.29
392.024,17.31
392.387,17.34
392.75,17.3
393.113,17.32
393.476,17.37
393.838,17.39
394.201,17.44
394.564,17.49
394.927,17.53
395.289,17.51
395.652,17.6
396.015,17.66
396.377,17.75
396.74,17.81
397.102,17.88
397.465,17.93
397.827,18.03
398.189,18.07
398.552,18.12
398.914,18.17
399.276,18.21
399.638,18.19
400,18.25
400.363,18.29
400.725,18.33
401.087,18.3
401.449,18.3
401.81,18.33
402.172,18.35
402.534,18.35
402.896,18.4
403.258,18.46
403.619,18.5
403.981,18.46
404.343,18.49
404.704,18.48
405.066,18.52
405.427,18.53
405.789,18.61
406.15,18.58
406.512,18.58
406.873,18.54
407.234,18.49
407.596,18.52
407.957,18.51
408.318,18.46
408.679,18.49
409.04,18.51
409.401,18.58
409.762,18.49
410.123,18.53
410.484,18.55
410.845,18.54
411.206,18.59
411.567,18.54
411.927,18.59
412.288,18.59
412.649,18.83
413.009,18.77
413.37,18.73
413.731,18.77
414.091,18.78
414.452,18.77
414.812,18.86
415.172,18.82
415.533,18.83
415.893,18.86
416.253,18.9
416.613,18.67
416.974,18.77
417.334,18.81
417.694,18.86
418.054,18.83
418.414,18.86
418.774,18.84
419.134,18.85
419.494,18.87
419.853,18.81
420.213,18.81
420.573,18.84
420.933,18.87
421.292,18.85
421.652,18.81
422.011,18.81
422.371,18.83
422.73,18.8
423.09,18.87
423.449,18.87
423.809,18.96
424.168,19
424.527,19.02
424.887,18.99
425.246,19.03
425.605,19.05
425.964,19.12
426.323,19.11
426.682,19.18
427.041,19.15
427.4,19.19
427.759,19.16
428.118,19.18
428.477,19.21
428.835,19.24
429.194,19.24
429.553,19.25
429.911,19.25
430.27,19.27
430.629,19.3
430.987,19.31
431.346,19.28
431.704,19.28
432.062,19.26
432.421,19.27
432.779,19.24
433.137,19.28
433.496,19.35
433.854,19.33
434.212,19.39
434.57,19.38
434.928,19.39
435.286,19.41
435.644,19.47
436.002,19.48
436.36,19.51
436.718,19.54
437.075,19.5
437.433,19.43
437.791,19.45
438.149,19.43
438.506,19.47
438.864,19.5
439.221,19.54
439.579,19.59
439.936,19.61
440.294,19.62
440.651,19.64
441.009,19.67
441.366,19.74
441.723,19.75
442.08,19.8
442.437,19.81
442.795,19.85
443.152,19.84
443.509,19.82
443.866,19.84
444.223,19.84
444.58,19.85
444.936,19.85
445.293,19.8
445.65,19.8
446.007,19.82
446.363,19.82
446.72,19.87
447.077,19.93
447.433,19.92
447.79,19.89
448.146,19.89
448.503,19.9
448.859,19.89
449.215,19.91
449.572,19.95
449.928,19.92
450.284,19.96
450.641,19.92
450.997,19.9
451.353,19.92
451.709,19.98
452.065,20.01
452.421,20
452.777,20.06
453.133,20.18
453.488,20.16
453.844,20.11
454.2,20.13
454.556,20.15
454.911,20.17
455.267,20.13
455.623,20.13
455.978,20.18
456.334,20.22
456.689,20.17
457.045,20.11
457.4,20.14
457.755,20.18
458.111,20.19
458.466,20.19
458.821,20.17
459.176,20.26
459.531,20.25
459.886,20.22
460.242,20.23
460.597,20.26
460.951,20.26
461.306,20.31
461.661,20.34
462.016,20.33
462.371,20.33
462.726,20.35
463.08,20.34
463.435,20.36
463.79,20.34
464.144,20.37
464.499,20.39
464.853,20.42
465.208,20.51
465.562,20.51
465.916,20.56
466.271,20.61
466.625,20.61
466.979,20.62
467.333,20.65
467.688,20.67
468.042,20.63
468.396,20.66
468.75,20.69
469.104,20.6
469.458,20.63
469.811,20.62
470.165,20.61
470.519,20.62
470.873,20.6
471.227,20.58
471.58,20.57
471.934,20.61
472.287,20.58
472.641,20.56
472.995,20.56
473.348,20.49
473.701,20.48
474.055,20.5
474.408,20.54
474.761,20.55
475.115,20.56
475.468,20.54
475.821,20.59
476.174,20.59
476.527,20.56
476.88,20.6
477.233,20.7
477.586,20.69
477.939,20.65
478.292,20.67
478.645,20.68
478.998,20.72
479.35,20.77
479.703,20.79
480.056,20.79
480.408,20.85
480.761,20.81
481.113,20.8
481.466,20.79
481.818,20.83
482.171,20.77
482.523,20.81
482.875,20.84
483.228,20.88
483.58,20.84
483.932,20.9
484.284,20.88
484.636,20.92
484.988,20.95
485.34,21.01
485.692,20.98
486.044,20.99
486.396,20.98
486.748,20.94
487.1,20.94
487.451,20.93
487.803,20.92
488.155,20.94
488.506,20.93
488.858,20.94
489.209,20.9
489.561,20.93
489.912,20.97
490.264,20.95
490.615,20.95
490.966,20.92
491.318,20.94
491.669,20.93
492.02,20.94
492.371,20.89
492.722,20.84
493.073,20.83
493.424,20.81
493.775,20.73
494.126,20.73
494.477,20.72
494.828,20.72
495.179,20.68
495.53,20.68
495.88,20.67
496.231,20.7
496.582,20.74
496.932,20.73
497.283,20.71
497.633,20.78
497.984,20.77
498.334,20.82
498.684,20.84
499.035,20.83
499.385,20.82
499.735,20.82
500.086,20.82
500.436,20.78
500.786,20.83
501.136,20.83
501.486,20.79
501.836,20.84
502.186,20.81
502.536,20.82
502.886,20.84
503.235,20.84
503.585,20.84
503.935,20.88
504.285,20.88
504.634,20.84
504.984,20.82
505.333,20.85
505.683,20.8
506.032,20.8
506.382,20.77
506.731,20.77
507.08,20.78
507.43,20.75
507.779,20.68
508.128,20.7
508.477,20.73
508.826,20.73
509.176,20.74
509.525,20.75
509.874,20.72
510.222,20.72
510.571,20.73
510.92,20.74
511.269,20.74
511.618,20.77
511.967,20.72
512.315,20.7
512.664,20.7
513.012,20.67
513.361,20.7
513.71,20.67
514.058,20.63
514.406,20.59
514.755,20.55
515.103,20.48
515.451,20.47
515.8,20.46
516.148,20.42
516.496,20.4
516.844,20.41
517.192,20.35
517.54,20.34
517.888,20.3
518.236,20.31
518.584,20.28
518.932,20.31
519.28,20.24
519.628,20.18
519.975,20.2
520.323,20.18
520.671,20.12
521.018,20.12
521.366,20.11
521.713,20.14
522.061,20.11
522.408,20.14
522.756,20.07
523.103,20.06
523.45,20.13
523.798,20.05
524.145,19.99
524.492,19.95
524.839,19.93
525.186,19.95
525.533,19.92
525.88,19.89
526.227,19.82
526.574,19.81
526.921,19.82
527.268,19.77
527.615,19.81
527.961,19.79
528.308,19.82
528.655,19.75
529.001,19.75
529.348,19.76
529.694,19.75
530.041,19.77
530.387,19.79
530.734,19.79
531.08,19.76
531.426,19.72
531.773,19.8
532.119,19.75
532.465,19.81
532.811,19.78
533.157,19.68
533.503,19.7
533.849,19.7
534.195,19.7
534.541,19.64
534.887,19.61
535.233,19.64
535.579,19.6
535.924,19.65
536.27,19.64
536.616,19.58
536.961,19.65
537.307,19.64
537.652,19.6
537.998,19.62
538.343,19.66
538.689,19.69
539.034,19.68
539.379,19.65
539.725,19.64
540.07,19.64
540.415,19.66
540.76,19.63
541.105,19.64
541.45,19.66
541.795,19.63
542.14,19.64
542.485,19.56
542.83,19.54
543.175,19.54
543.519,19.46
543.864,19.45
544.209,19.5
544.554,19.48
544.898,19.42
545.243,19.41
545.587,19.39
545.932,19.38
546.276,19.4
546.621,19.37
546.965,19.28
547.309,19.31
547.653,19.25
547.998,19.13
548.342,19.15
548.686,19.13
549.03,19.1
549.374,19.09
549.718,19
550.062,18.98
550.406,18.97
550.75,19.06
551.094,18.99
551.437,19.01
551.781,19.05
552.125,18.98
552.468,19
552.812,18.94
553.156,18.9
553.499,18.88
553.843,18.84
554.186,18.75
554.529,18.67
554.873,18.61
555.216,18.53
555.559,18.43
555.902,18.43
556.246,18.35
556.589,18.34
556.932,18.27
557.275,18.25
557.618,18.22
557.961,18.27
558.304,18.23
558.646,18.19
558.989,18.18
559.332,18.16
559.675,18.13
560.017,18.11
560.36,18.09
560.703,18.07
561.045,18.04
561.388,18
561.73,17.94
562.073,17.92
562.415,17.84
562.757,17.77
563.1,17.76
563.442,17.7
563.784,17.66
564.126,17.58
564.468,17.55
564.81,17.45
565.152,17.43
565.494,17.38
565.836,17.33
566.178,17.36
566.52,17.34
566.862,17.29
567.204,17.31
567.545,17.32
567.887,17.28
568.229,17.27
568.57,17.24
568.912,17.26
569.253,17.22
569.595,17.21
569.936,17.23
570.277,17.19
