trial,time.delay,site,species,attacks
mimic,one,5,mimic_limenitis,0
mimic,one,6,mimic_limenitis,1
mimic,one,7,mimic_limenitis,1
mimic,one,8,mimic_limenitis,0
mimic,one,9,mimic_limenitis,0
mimic,one,10,mimic_limenitis,1
mimic,one,11,mimic_limenitis,0
mimic,one,12,mimic_limenitis,0
mimic,one,13,mimic_limenitis,0
mimic,one,14,mimic_limenitis,0
mimic,one,15,mimic_limenitis,0
mimic,one,16,mimic_limenitis,0
mimic,one,17,mimic_limenitis,0
mimic,one,18,mimic_limenitis,0
mimic,one,19,mimic_limenitis,1
mimic,one,20,mimic_limenitis,1
mimic,one,1,mimic_junonia,0
mimic,one,2,mimic_junonia,0
mimic,one,3,mimic_junonia,0
mimic,one,4,mimic_junonia,2
mimic,one,5,mimic_junonia,1
mimic,one,6,mimic_junonia,0
mimic,one,7,mimic_junonia,0
mimic,one,8,mimic_junonia,1
mimic,one,9,mimic_junonia,0
mimic,one,10,mimic_junonia,1
mimic,one,11,mimic_junonia,0
mimic,one,12,mimic_junonia,0
mimic,one,13,mimic_junonia,1
mimic,one,14,mimic_junonia,0
mimic,one,15,mimic_junonia,0
mimic,one,16,mimic_junonia,0
mimic,one,17,mimic_junonia,1
mimic,one,18,mimic_junonia,0
mimic,one,19,mimic_junonia,0
mimic,one,20,mimic_junonia,0
simultaneous,zero,1,sim_battus,0
simultaneous,zero,2,sim_battus,0
simultaneous,zero,3,sim_battus,1
simultaneous,zero,4,sim_battus,0
simultaneous,zero,5,sim_battus,1
simultaneous,zero,6,sim_battus,0
simultaneous,zero,7,sim_battus,1
simultaneous,zero,8,sim_battus,0
simultaneous,zero,9,sim_battus,1
simultaneous,zero,10,sim_battus,0
simultaneous,zero,11,sim_battus,0
simultaneous,zero,12,sim_battus,0
simultaneous,zero,13,sim_battus,1
simultaneous,zero,14,sim_battus,0
simultaneous,zero,15,sim_battus,0
simultaneous,zero,16,sim_battus,1
simultaneous,zero,17,sim_battus,0
simultaneous,zero,18,sim_battus,0
simultaneous,zero,19,sim_battus,1
simultaneous,zero,20,sim_battus,0
simultaneous,zero,1,sim_limenitis,0
simultaneous,zero,2,sim_limenitis,0
simultaneous,zero,3,sim_limenitis,1
simultaneous,zero,4,sim_limenitis,0
simultaneous,zero,5,sim_limenitis,0
simultaneous,zero,6,sim_limenitis,0
simultaneous,zero,7,sim_limenitis,0
simultaneous,zero,8,sim_limenitis,0
simultaneous,zero,9,sim_limenitis,0
simultaneous,zero,10,sim_limenitis,0
simultaneous,zero,11,sim_limenitis,0
simultaneous,zero,12,sim_limenitis,0
simultaneous,zero,13,sim_limenitis,0
simultaneous,zero,14,sim_limenitis,0
simultaneous,zero,15,sim_limenitis,1
simultaneous,zero,16,sim_limenitis,0
simultaneous,zero,17,sim_limenitis,0
simultaneous,zero,18,sim_limenitis,0
simultaneous,zero,19,sim_limenitis,2
simultaneous,zero,20,sim_limenitis,0
simultaneous,zero,1,sim_junonia,0
simultaneous,zero,2,sim_junonia,1
simultaneous,zero,3,sim_junonia,2
simultaneous,zero,4,sim_junonia,0
simultaneous,zero,5,sim_junonia,1
