wavelength,reflectance
329.336,8.45
329.706,9.27
330.076,9.73
330.447,8.65
330.816,7.8
331.186,9.7
331.556,13.47
331.926,8.99
332.296,9.34
332.666,8.1
333.036,7.8
333.405,9.92
333.775,6.39
334.144,8.53
334.514,9.81
334.884,8.01
335.253,7.54
335.623,8.66
335.992,10.93
336.361,10.08
336.731,9.63
337.1,10.27
337.469,8.08
337.838,10.25
338.208,9.81
338.577,7.52
338.946,9.09
339.315,9.98
339.684,10.63
340.053,10.36
340.422,9.22
340.79,9.45
341.159,10.33
341.528,9.41
341.897,9.45
342.266,6.95
342.634,9.39
343.003,9.63
343.371,8.43
343.74,8.36
344.108,10.08
344.477,9.02
344.845,7.69
345.214,8.97
345.582,8.89
345.95,8.54
346.319,10.06
346.687,9.21
347.055,10.46
347.423,8.15
347.791,8.92
348.159,9.48
348.527,8.06
348.895,10.33
349.263,8.76
349.631,8.47
349.999,11.14
350.367,10
350.734,9.07
351.102,8.36
351.47,8.25
351.837,8.9
352.205,8.63
352.573,8.9
352.94,10.27
353.308,11.87
353.675,9.87
354.042,10.14
354.41,8.47
354.777,8.34
355.144,9.79
355.511,7.65
355.879,8.84
356.246,9.84
356.613,11.21
356.98,10.31
357.347,8.95
357.714,8.87
358.081,9.45
358.448,12.16
358.815,10.31
359.181,10.25
359.548,10.41
359.915,9.76
360.282,10.03
360.648,11.3
361.015,11.4
361.381,9.79
361.748,10.41
362.114,9.98
362.481,8.71
362.847,10.06
363.214,11.61
363.58,8.77
363.946,9.34
364.312,10.99
364.678,10.14
365.045,10.08
365.411,11.53
365.777,10.33
366.143,11.82
366.509,9.24
366.875,10.46
367.241,7.31
367.606,9.07
367.972,11.41
368.338,11.02
368.704,11.11
369.069,9.43
369.435,10.76
369.801,11.05
370.166,10.77
370.532,10.96
370.897,9.77
371.263,12.57
371.628,11.72
371.993,11.81
372.359,11.57
372.724,11.06
373.089,11.66
373.454,11.11
373.82,11.57
374.185,12.18
374.55,11.14
374.915,10.91
375.28,11.28
375.645,11.89
376.01,13.29
376.374,13.58
376.739,12.19
377.104,13.59
377.469,12.67
377.833,11.6
378.198,13.71
378.563,15.49
378.927,14.08
379.292,11.57
379.656,12.57
380.021,12.57
380.385,11.84
380.749,11.95
381.114,12.53
381.478,13.16
381.842,13.74
382.206,12.8
382.571,14.6
382.935,15.28
383.299,14.12
383.663,15.05
384.027,13.69
384.391,14.74
384.755,13.42
385.118,15.59
385.482,13.4
385.846,13.64
386.21,13.79
386.573,14.69
386.937,16.36
387.301,15.16
387.664,15.56
388.028,14.55
388.391,15.55
388.755,15.85
389.118,15.06
389.481,15.29
389.845,15.99
390.208,16.03
390.571,15.77
390.934,15.94
391.298,16.89
391.661,17.25
392.024,17.25
392.387,17.86
392.75,17.4
393.113,15.57
393.476,15.9
393.838,16.53
394.201,16.57
394.564,17.4
394.927,16.77
395.289,18.19
395.652,17.56
396.015,19.16
396.377,17.38
396.74,17.15
397.102,17.89
397.465,19.54
397.827,18.52
398.189,17.59
398.552,17.65
398.914,17.8
399.276,21.49
399.638,20.84
400,19.88
400.363,20.48
400.725,18.17
401.087,18.52
401.449,20.17
401.81,20.6
402.172,18.79
402.534,21.32
402.896,20.4
403.258,17.9
403.619,18.29
403.981,18.64
404.343,19.68
404.704,19.44
405.066,19.37
405.427,18.9
405.789,19.76
406.15,19.32
406.512,22.81
406.873,20.16
407.234,20.95
407.596,21.41
407.957,19.58
408.318,21.52
408.679,21.39
409.04,21.1
409.401,20.82
409.762,23.52
410.123,21.41
410.484,22.14
410.845,20.77
411.206,22.27
411.567,22.47
411.927,22.14
412.288,21.9
412.649,23.4
413.009,21.84
413.37,22.47
413.731,22.57
414.091,21.18
414.452,25.05
414.812,22.34
415.172,21.45
415.533,22.16
415.893,23.01
416.253,22.4
416.613,20
416.974,22.88
417.334,23.82
417.694,22.9
418.054,22.71
418.414,22.42
418.774,21.86
419.134,22.67
419.494,21.35
419.853,22.95
420.213,23.29
420.573,20.33
420.933,21.78
421.292,23.36
421.652,23.04
422.011,22.87
422.371,23.36
422.73,23.28
423.09,21.46
423.449,22.23
423.809,22.19
424.168,24.17
424.527,23.62
424.887,23.94
425.246,24.42
425.605,22.52
425.964,23.75
426.323,23.03
426.682,21.6
427.041,23.77
427.4,24.47
427.759,22.83
428.118,22.7
428.477,22.21
428.835,23.33
429.194,22.21
429.553,23.63
429.911,22.66
430.27,26.01
430.629,24.19
430.987,22.19
431.346,24.92
431.704,23.43
432.062,22.76
432.421,23
432.779,25.74
433.137,24.82
433.496,23.11
433.854,23.29
434.212,24.33
434.57,22.4
434.928,23.29
435.286,22.98
435.644,25.51
436.002,24.07
436.36,24.39
436.718,26.49
437.075,23.24
437.433,23.77
437.791,25.27
438.149,25.94
438.506,25.85
438.864,25.1
439.221,26.06
439.579,27.31
439.936,23.69
440.294,25.48
440.651,24.41
441.009,24.83
441.366,25.61
441.723,25.52
442.08,25.63
442.437,25.01
442.795,25.23
443.152,24.37
443.509,26.26
443.866,25.05
444.223,26.38
444.58,25.87
444.936,27.04
445.293,25.58
445.65,25.3
446.007,26.52
446.363,26.23
446.72,26.56
447.077,24.28
447.433,27.35
447.79,25.76
448.146,26.58
448.503,26.47
448.859,26.33
449.215,25.47
449.572,26.08
449.928,26.38
450.284,27.28
450.641,26.05
450.997,26.1
451.353,26.72
451.709,26.26
452.065,26.87
452.421,27.65
452.777,24.79
453.133,26.3
453.488,25.38
453.844,27.41
454.2,26.47
454.556,27.56
454.911,27.23
455.267,25.97
455.623,24.87
455.978,26.18
456.334,26.52
456.689,27.96
457.045,25.61
457.4,26.67
457.755,26.72
458.111,28.28
458.466,25.57
458.821,26.98
459.176,26.9
459.531,25.52
459.886,26.91
460.242,27.55
460.597,27.03
460.951,24.24
461.306,25.76
461.661,27.54
462.016,28.13
462.371,26.2
462.726,25.1
463.08,26.67
463.435,26.5
463.79,28.14
464.144,27.11
464.499,26.7
464.853,25.95
465.208,28.64
465.562,26.33
465.916,25.53
466.271,26.59
466.625,24.39
466.979,26.16
467.333,25.48
467.688,27
468.042,25.85
468.396,26.26
468.75,26.65
469.104,25.52
469.458,26.81
469.811,25.4
470.165,25.93
470.519,27.28
470.873,27.48
471.227,28.84
471.58,28.05
471.934,26.72
472.287,28.52
472.641,28.08
472.995,28.01
473.348,28.4
473.701,26.72
474.055,26.18
474.408,27.67
474.761,27.37
475.115,26.42
475.468,26.75
475.821,29.14
476.174,27.93
476.527,26.24
476.88,27.69
477.233,26.96
477.586,27.62
477.939,28.55
478.292,26.98
478.645,26.56
478.998,26.62
479.35,26.57
479.703,27.78
480.056,27.34
480.408,25.97
480.761,27.81
481.113,28.48
481.466,28.99
481.818,27.12
482.171,25.41
482.523,28.22
482.875,27.56
483.228,27.71
483.58,26.16
483.932,26.18
484.284,25.6
484.636,26.57
484.988,27.38
485.34,27.62
485.692,26.11
486.044,25.66
486.396,27.26
486.748,27.71
487.1,27.39
487.451,26.45
487.803,25.52
488.155,26.22
488.506,27.03
488.858,25.83
489.209,26.37
489.561,26.44
489.912,26.43
490.264,26.6
490.615,27.01
490.966,26.83
491.318,27.01
491.669,25.92
492.02,26.77
492.371,26.85
492.722,26.71
493.073,25.64
493.424,27.43
493.775,27.72
494.126,28.54
494.477,27.34
494.828,27.25
495.179,26.58
495.53,25.79
495.88,26.4
496.231,26.22
496.582,26.94
496.932,26.83
497.283,26.94
497.633,26.42
497.984,27.05
498.334,26.88
498.684,26.58
499.035,27.12
499.385,26.75
499.735,26.54
500.086,26.69
500.436,27.34
500.786,25.74
501.136,25.75
501.486,25.55
501.836,25.38
502.186,25.08
502.536,26.08
502.886,25.62
503.235,26.43
503.585,28
503.935,26.57
504.285,26.11
504.634,24.63
504.984,25.83
505.333,25.97
505.683,25.38
506.032,25.84
506.382,25.49
506.731,25.62
507.08,26.33
507.43,25.57
507.779,25.88
508.128,27.77
508.477,26.27
508.826,26.49
509.176,25.35
509.525,24.26
509.874,26.15
510.222,25.24
510.571,25.16
510.92,24.1
511.269,23.88
511.618,24.12
511.967,24.72
512.315,24.25
512.664,26.92
513.012,24.07
513.361,23.6
513.71,24.88
514.058,24.37
514.406,24.8
514.755,25.05
515.103,24.43
515.451,24.1
515.8,25.13
516.148,23.31
516.496,24.03
516.844,25.05
517.192,24.96
517.54,25.21
517.888,23.77
518.236,22.75
518.584,23.53
518.932,26.45
519.28,23.54
519.628,24.01
519.975,24.36
520.323,23.2
520.671,23.56
521.018,22.96
521.366,23.28
521.713,21.86
522.061,21.34
522.408,22.84
522.756,23.64
523.103,24.09
523.45,24.04
523.798,22.38
524.145,23.51
524.492,23.59
524.839,22.78
525.186,23.47
525.533,22.69
525.88,22.23
526.227,22.82
526.574,21.84
526.921,21.22
527.268,23.05
527.615,20.8
527.961,23.47
528.308,23
528.655,23.1
529.001,21.43
529.348,22.33
529.694,21.92
530.041,19.53
530.387,22.23
530.734,22.25
531.08,22.93
531.426,21.1
531.773,21.29
532.119,22
532.465,21.13
532.811,21.05
533.157,22.15
533.503,20.51
533.849,20.19
534.195,21.08
534.541,22
534.887,22.31
535.233,18.66
535.579,20.71
535.924,20.11
536.27,20.99
536.616,21.43
536.961,20.83
537.307,19.73
537.652,19.45
537.998,21.67
538.343,19.59
538.689,19.97
539.034,21.36
539.379,21.21
539.725,20.17
540.07,19.31
540.415,18.22
540.76,21.16
541.105,20.57
541.45,19.53
541.795,21.64
542.14,20.21
542.485,18.68
542.83,20.1
543.175,20.43
543.519,19.38
543.864,20.9
544.209,21.25
544.554,18.47
544.898,18.66
545.243,17.54
545.587,19.97
545.932,20
546.276,18.96
546.621,19.52
546.965,17.35
547.309,18.32
547.653,17.99
547.998,18.17
548.342,18.43
548.686,19.87
549.03,19.01
549.374,18.85
549.718,19.08
550.062,16.8
550.406,18.73
550.75,18.32
551.094,17.22
551.437,19.02
551.781,16
552.125,17.25
552.468,17.32
552.812,15.4
553.156,16.29
553.499,17.51
553.843,17.14
554.186,16.3
554.529,14.85
554.873,16.95
555.216,17.23
555.559,18.05
555.902,17.21
556.246,16
556.589,14.45
556.932,15.36
557.275,15.65
557.618,17.26
557.961,16.31
558.304,17.58
558.646,16.25
558.989,14.05
559.332,15.45
559.675,14.8
560.017,14.22
560.36,14.84
560.703,15.12
561.045,14.95
561.388,15.14
561.73,15.6
562.073,14.24
562.415,14.5
562.757,13.69
563.1,12.5
563.442,15.55
563.784,14.12
564.126,14.62
564.468,14.1
564.81,14.1
565.152,13.46
565.494,13.26
565.836,13.24
566.178,15.09
566.52,13.94
566.862,14.64
567.204,13.94
567.545,13.11
567.887,12.74
568.229,12.72
568.57,13.8
568.912,14.02
569.253,13.01
569.595,11.84
569.936,12.8
570.277,12.86
570.619,14.05
570.96,11.77
571.301,13
571.642,13.05
571.984,12.58
572.325,11.47
572.666,13.43
573.007,12.63
573.348,12.59
573.689,12.85
574.03,12.49
574.37,11.61
574.711,12.22
575.052,12.33
575.393,10.24
575.733,11.81
576.074,12.15
576.414,11.64
576.755,12.71
577.095,12.17
577.436,11.88
577.776,11.88
578.117,11.65
578.457,11.8
578.797,11.16
579.137,11.45
579.478,11.1
579.818,11.96
580.158,11.23
580.498,11.28
580.838,11.01
581.178,11.21
581.518,11.25
581.858,11.92
582.197,11.27
582.537,10.77
582.877,10.58
583.217,10.73
583.556,11.45
583.896,10.87
584.235,11.41
584.575,11.06
584.914,10.43
585.254,10.54
585.593,11
585.933,11.18
586.272,11.23
586.611,10.69
586.95,10.62
587.289,11.1
587.629,10.91
587.968,10.54
588.307,10.53
588.646,10.42
588.985,10.21
589.323,10.37
589.662,9.88
590.001,10.79
590.34,11.26
590.679,11.19
591.017,10.13
591.356,10.22
591.695,9.95
592.033,10.36
592.372,10.73
592.71,10.5
593.048,9.98
593.387,10.56
593.725,10.72
594.063,10.4
594.402,10.73
594.74,11.28
595.078,10.47
595.416,10.93
595.754,10.65
596.092,10.21
596.43,10.11
596.768,10.95
597.106,10.29
597.444,10.25
597.781,10.97
598.119,10.54
598.457,10.1
598.795,10.17
599.132,9.89
599.47,9.43
599.807,10.86
600.145,10.28
600.482,10.21
600.82,9.82
601.157,10.2
601.494,9.87
601.831,9.69
602.169,10.23
602.506,10.48
602.843,9.7
603.18,9.74
603.517,10.69
603.854,9.55
604.191,10.31
604.528,10.28
604.865,8.83
605.202,9.5
605.538,10.16
605.875,9.92
606.212,9.86
606.548,10.39
606.885,10.32
607.222,10.43
607.558,9.15
607.895,9.6
608.231,8.86
608.567,9.49
608.904,9.23
609.24,9.24
609.576,9.59
609.912,9.89
610.248,9.78
610.585,9.35
610.921,9.24
611.257,9.78
611.593,9.47
611.929,9.46
612.264,9.61
612.6,9.18
612.936,8.75
613.272,8.41
613.608,10.59
613.943,9.89
614.279,10.21
614.614,9.94
614.95,9.16
615.285,9.62
615.621,9.15
615.956,8.81
616.292,9.7
616.627,9.47
616.962,9.11
617.297,9.47
617.632,9.46
617.968,10.39
618.303,9.99
618.638,8.94
618.973,9.03
619.308,10.62
619.643,8.84
619.977,10.58
620.312,10.46
620.647,10.02
620.982,9.12
621.316,9.6
621.651,9.55
621.986,9.3
622.32,9.35
622.655,9.71
622.989,9.81
623.324,9
623.658,10.36
623.992,9.7
624.326,9.09
624.661,9.71
624.995,10.15
625.329,8.96
625.663,9.23
625.997,9.49
626.331,8.32
626.665,9.36
626.999,10.12
627.333,10.63
627.667,9.19
628.001,9.82
628.334,9.55
628.668,9.97
629.002,10.38
629.335,9.46
629.669,11.03
630.002,11.15
630.336,9.65
630.669,10.6
631.003,11.11
631.336,10.85
631.669,10.51
632.003,11.24
632.336,9.8
632.669,10.46
633.002,9.18
633.335,11
633.668,9.83
634.001,10.8
634.334,10.43
634.667,9.98
635,11.15
635.333,10.86
635.665,10.13
635.998,10.76
636.331,9.83
636.663,8.99
636.996,8.15
637.328,10.27
637.661,9.67
637.993,10.16
638.326,10.61
638.658,10.59
638.99,10.08
639.323,9.77
639.655,9.4
639.987,9.88
640.319,9.44
640.651,11.07
640.983,9.7
641.315,10.56
641.647,10.23
641.979,11.43
642.311,9.52
642.643,10.25
642.975,13.01
643.306,9.32
643.638,9.68
643.97,10.56
644.301,10.84
644.633,6.99
644.964,9.46
645.296,10.54
645.627,10.13
645.959,10.34
646.29,11.32
646.621,10.41
646.952,9.52
647.284,10.78
647.615,11.48
647.946,11.04
648.277,10.22
648.608,10.95
648.939,10.4
649.27,10.85
649.601,8.72
649.931,10.85
650.262,9.86
650.593,10.24
650.924,11.11
651.254,10.33
651.585,10.28
651.915,10.91
652.246,11.86
652.576,11.66
652.907,10.88
653.237,11.57
653.568,11.4
653.898,11.77
654.228,11.32
654.558,10.79
654.888,10.32
655.219,9.68
655.549,11.58
655.879,12.53
656.209,10.89
656.539,10.45
656.868,12.13
657.198,11.05
657.528,11.06
657.858,10.9
658.188,10.89
658.517,10.61
658.847,11.38
659.176,11.13
659.506,11.02
659.835,10.88
660.165,11.05
660.494,11.05
660.824,11.59
661.153,11.27
661.482,11.46
661.811,11.14
662.14,11.63
662.47,11.01
662.799,10.99
663.128,11.4
663.457,10.93
663.786,11.25
664.114,12.02
664.443,11.77
664.772,10.05
665.101,11.44
665.43,11.26
665.758,12.42
666.087,11.14
666.415,10.89
666.744,11.65
667.072,10.91
667.401,10.73
667.729,10.22
668.058,10.33
668.386,11.33
668.714,11.77
669.042,12.4
669.371,12.82
669.699,12.99
670.027,11.02
670.355,13.1
670.683,12.23
671.011,12.61
671.339,11.42
671.666,13.89
671.994,12.61
672.322,13.43
672.65,10.64
672.977,12.43
673.305,13.5
673.633,11.96
673.96,12.5
674.288,13.09
674.615,13.52
674.943,12.25
675.27,11.98
675.597,12.15
675.924,13.46
676.252,12.01
676.579,11.35
676.906,11.72
677.233,12.64
677.56,14.1
677.887,12.44
678.214,12.26
678.541,11.47
678.868,12.12
679.195,11.64
679.521,12.78
679.848,9.92
680.175,11.7
680.501,11.67
680.828,11.75
681.154,12.33
681.481,11.11
681.807,12.08
682.134,13
682.46,11.75
682.787,11.48
683.113,12.76
683.439,11.63
683.765,11.67
684.091,11.35
684.417,11.75
684.743,10.32
685.069,13.21
685.395,12.6
685.721,11.32
686.047,11.71
686.373,12.99
686.699,11.57
687.024,10.89
687.35,9.95
687.676,10.75
688.001,11.26
688.327,10.11
688.652,11.06
688.978,12.41
689.303,8.38
689.629,13.17
689.954,11.38
690.279,12.95
690.604,13.1
690.93,12.19
691.255,12.25
691.58,11.44
691.905,11.64
692.23,11.26
692.555,12.93
692.88,10.74
693.204,12.03
693.529,12.37
693.854,11.39
694.179,9.24
694.503,10.94
694.828,12.43
695.153,11.75
695.477,11.33
695.802,9.76
696.126,11.71
696.451,8.47
696.775,12.08
697.099,12.68
697.423,9.32
697.748,11.11
698.072,12.21
698.396,9.35
698.72,11.58
699.044,10.17
699.368,11.89
699.692,13.05
700.016,11.24
700.34,11.65
700.664,10.47
700.987,10.25
701.311,11.02
701.635,11.43
701.958,9.45
702.282,10.26
702.606,10.92
702.929,9.41
703.252,9.54
703.576,11.42
703.899,9.04
704.223,10.28
704.546,12.5
704.869,11.62
705.192,10.61
705.515,10.84
705.838,10.48
706.161,11.47
706.484,11.04
706.807,11.08
707.13,10.8
707.453,11.77
707.776,8.57
708.099,11.57
708.421,13.12
708.744,9.33
709.067,10.32
709.389,13.3
709.712,10.55
710.034,9.45
710.357,12.65
710.679,9.94
711.001,9.72
711.324,12.47
711.646,11.31
711.968,9.57
712.29,11.08
712.612,12.5
712.935,9.25
713.257,11.72
713.579,11.41
713.9,11.73
714.222,9.85
714.544,12.31
714.866,8.54
715.188,10.16
715.509,9.32
715.831,9.01
716.153,9.38
716.474,12.81
716.796,12.11
717.117,10.03
717.439,11.94
717.76,10.84
718.081,10.07
718.403,9.68
718.724,10.03
719.045,10.36
719.366,12.06
719.687,10.81
720.009,10.43
720.33,12.04
720.651,13.47
720.971,12.17
721.292,10.24
721.613,10.62
721.934,11.67
722.255,10.88
722.575,8.64
722.896,12.42
723.217,11.75
723.537,10.83
723.858,11.52
724.178,13.94
724.499,9.93
724.819,12.32
725.139,12.46
725.46,13.42
725.78,11.24
726.1,10.87
726.42,13.73
726.74,12.36
727.06,11.95
727.38,11.16
727.7,12.31
728.02,9.62
728.34,12.36
728.66,12.31
728.98,12.46
729.299,9.53
729.619,10.55
729.939,11.88
730.258,10.12
730.578,9.13
730.897,11.46
731.217,12.55
731.536,11.07
731.856,12.51
732.175,13.91
732.494,14.45
732.814,10.67
733.133,13.98
733.452,13.24
733.771,15.59
734.09,14.39
