day,site,fac.no,species,attacks,transect
5,1,1,battus,0,1
5,1,2,battus,0,1
5,1,3,battus,0,1
5,1,4,battus,0,1
5,1,5,battus,0,1
5,1,6,battus,0,1
5,1,7,battus,0,1
5,1,8,battus,0,1
5,1,9,battus,0,1
5,1,10,battus,0,1
5,1,11,battus,0,1
5,1,12,battus,0,1
5,1,13,battus,0,1
5,1,14,battus,0,1
5,1,15,battus,0,1
5,1,16,battus,0,1
5,1,17,battus,0,1
5,1,18,battus,0,1
5,1,19,battus,0,1
5,1,20,battus,0,1
5,1,21,battus,0,1
5,1,22,battus,0,1
5,1,23,battus,0,1
5,1,24,battus,0,1
5,1,25,battus,0,1
5,1,1,junonia.learning,0,1
5,1,2,junonia.learning,0,1
5,1,3,junonia.learning,0,1
5,1,4,junonia.learning,0,1
5,1,5,junonia.learning,0,1
5,1,6,junonia.learning,0,1
5,1,7,junonia.learning,0,1
5,1,8,junonia.learning,0,1
5,1,9,junonia.learning,0,1
5,1,10,junonia.learning,0,1
5,1,11,junonia.learning,0,1
5,1,12,junonia.learning,0,1
5,1,13,junonia.learning,0,1
5,1,14,junonia.learning,0,1
5,1,15,junonia.learning,0,1
5,1,16,junonia.learning,0,1
5,1,17,junonia.learning,0,1
5,1,18,junonia.learning,0,1
5,1,19,junonia.learning,0,1
5,1,20,junonia.learning,0,1
5,1,21,junonia.learning,0,1
5,1,22,junonia.learning,0,1
5,1,23,junonia.learning,0,1
5,1,24,junonia.learning,0,1
5,1,25,junonia.learning,0,1
5,2,1,battus,0,1
5,2,2,battus,0,1
5,2,3,battus,0,1
5,2,4,battus,0,1
5,2,5,battus,0,1
5,2,6,battus,0,1
5,2,7,battus,0,1
5,2,8,battus,0,1
5,2,9,battus,0,1
5,2,10,battus,0,1
5,2,11,battus,0,1
5,2,12,battus,0,1
5,2,13,battus,0,1
5,2,14,battus,0,1
5,2,15,battus,0,1
5,2,16,battus,0,1
5,2,17,battus,0,1
5,2,18,battus,0,1
5,2,19,battus,0,1
5,2,20,battus,0,1
5,2,21,battus,0,1
5,2,22,battus,0,1
5,2,23,battus,0,1
5,2,24,battus,0,1
5,2,25,battus,0,1
5,2,1,junonia.learning,0,1
5,2,2,junonia.learning,0,1
5,2,3,junonia.learning,0,1
5,2,4,junonia.learning,0,1
5,2,5,junonia.learning,0,1
5,2,6,junonia.learning,0,1
5,2,7,junonia.learning,0,1
5,2,8,junonia.learning,0,1
5,2,9,junonia.learning,0,1
5,2,10,junonia.learning,0,1
5,2,11,junonia.learning,0,1
5,2,12,junonia.learning,0,1
5,2,13,junonia.learning,0,1
5,2,14,junonia.learning,0,1
5,2,15,junonia.learning,0,1
5,2,16,junonia.learning,0,1
5,2,17,junonia.learning,0,1
5,2,18,junonia.learning,0,1
5,2,19,junonia.learning,0,1
5,2,20,junonia.learning,0,1
5,2,21,junonia.learning,0,1
5,2,22,junonia.learning,0,1
5,2,23,junonia.learning,0,1
5,2,24,junonia.learning,0,1
5,2,25,junonia.learning,0,1
5,3,1,battus,0,1
5,3,2,battus,0,1
5,3,3,battus,0,1
5,3,4,battus,0,1
5,3,5,battus,0,1
5,3,6,battus,0,1
5,3,7,battus,0,1
5,3,8,battus,0,1
5,3,9,battus,0,1
5,3,10,battus,0,1
5,3,11,battus,0,1
5,3,12,battus,0,1
5,3,13,battus,0,1
5,3,14,battus,0,1
5,3,15,battus,0,1
5,3,16,battus,0,1
5,3,17,battus,0,1
5,3,18,battus,0,1
5,3,19,battus,0,1
5,3,20,battus,0,1
5,3,21,battus,0,1
5,3,22,battus,0,1
5,3,23,battus,0,1
5,3,24,battus,0,1
5,3,25,battus,0,1
5,3,1,junonia.learning,0,1
5,3,2,junonia.learning,0,1
5,3,3,junonia.learning,0,1
5,3,4,junonia.learning,0,1
5,3,5,junonia.learning,0,1
5,3,6,junonia.learning,0,1
5,3,7,junonia.learning,0,1
5,3,8,junonia.learning,0,1
5,3,9,junonia.learning,0,1
5,3,10,junonia.learning,0,1
5,3,11,junonia.learning,0,1
5,3,12,junonia.learning,0,1
5,3,13,junonia.learning,0,1
5,3,14,junonia.learning,0,1
5,3,15,junonia.learning,0,1
5,3,16,junonia.learning,0,1
5,3,17,junonia.learning,0,1
5,3,18,junonia.learning,0,1
5,3,19,junonia.learning,0,1
5,3,20,junonia.learning,0,1
5,3,21,junonia.learning,0,1
5,3,22,junonia.learning,0,1
5,3,23,junonia.learning,0,1
5,3,24,junonia.learning,0,1
5,3,25,junonia.learning,0,1
