time.delay,experiment.day,site,species,attacks,field.day
one,2,17,junonia,1,5
one,2,18,junonia,0,5
one,2,19,junonia,0,5
one,2,20,junonia,0,5
one,3,1,limenitis,0,3
one,3,2,limenitis,0,3
one,3,3,limenitis,0,3
one,3,4,limenitis,0,3
one,3,5,limenitis,0,3
one,3,6,limenitis,1,4
one,3,7,limenitis,0,4
one,3,8,limenitis,0,4
one,3,9,limenitis,0,4
one,3,10,limenitis,0,4
one,3,11,limenitis,0,5
one,3,12,limenitis,0,5
one,3,13,limenitis,0,5
one,3,14,limenitis,0,5
one,3,15,limenitis,0,5
one,3,16,limenitis,0,6
one,3,17,limenitis,0,6
one,3,18,limenitis,0,6
one,3,19,limenitis,1,6
one,3,20,limenitis,0,6
one,3,1,junonia,0,3
one,3,2,junonia,0,3
one,3,3,junonia,0,3
one,3,4,junonia,0,3
one,3,5,junonia,1,3
one,3,6,junonia,0,4
one,3,7,junonia,0,4
one,3,8,junonia,1,4
one,3,9,junonia,0,4
one,3,10,junonia,0,4
one,3,11,junonia,0,5
one,3,12,junonia,0,5
one,3,13,junonia,0,5
one,3,14,junonia,0,5
one,3,15,junonia,0,5
one,3,16,junonia,0,6
one,3,17,junonia,0,6
one,3,18,junonia,0,6
one,3,19,junonia,0,6
one,3,20,junonia,0,6
one,4,1,limenitis,0,4
one,4,2,limenitis,0,4
one,4,3,limenitis,0,4
one,4,4,limenitis,1,4
one,4,5,limenitis,0,4
one,4,6,limenitis,0,5
one,4,7,limenitis,1,5
one,4,8,limenitis,0,5
one,4,9,limenitis,0,5
one,4,10,limenitis,0,5
one,4,11,limenitis,0,6
one,4,12,limenitis,0,6
one,4,13,limenitis,0,6
one,4,14,limenitis,0,6
one,4,15,limenitis,0,6
one,4,16,limenitis,0,7
one,4,17,limenitis,0,7
one,4,18,limenitis,0,7
one,4,19,limenitis,0,7
one,4,20,limenitis,0,7
one,4,1,junonia,0,4
one,4,2,junonia,0,4
one,4,3,junonia,0,4
one,4,4,junonia,0,4
one,4,5,junonia,0,4
one,4,6,junonia,0,5
one,4,7,junonia,0,5
one,4,8,junonia,0,5
one,4,9,junonia,0,5
